Name of the Tool,Motorcycle Model,Brand,Luxury Car Model,Brand,EV Model,Brand,Healthy Food and Dishes,,,Beverage,Kitchenware,Baked Good / Dessert Name,Junk Food Name,Vegetarian Dish Name,"Comics, Graphic Novels",,Mythological Creature Name,Exotic Pets
Cordless Drill,Honda CB750,Honda,S-Class,Mercedes-Benz,Model 3,Tesla,Avocados,,,Water,Chef’s knife,Chocolate Cake,French Fries,Vegetable Stir-Fry,Watchmen,,Dragon,Fennec Fox
Impact Driver,Yamaha YZF-R1,Yamaha,EQS Sedan,Mercedes-Benz,Model Y,Tesla,Blueberries,,,Mineral water,Paring knife,Cheesecake,Potato Chips,Paneer Tikka,Batman: The Killing Joke,,Phoenix,Sugar Glider
Hammer Drill,Suzuki Hayabusa,Suzuki,G-Class,Mercedes-Benz,Model S,Tesla,Salmon,,,Sparkling water,Bread knife,Apple Pie,Onion Rings,Chana Masala,V for Vendetta,,Griffin (Gryphon),Axolotl
Rotary Hammer,Kawasaki Ninja ZX-10R,Kawasaki,E-Class,Mercedes-Benz,Model X,Tesla,Grilled salmon with quinoa and broccoli,,,Coconut water,Utility knife,Brownies,Fried Chicken,Vegetable Biryani,The Sandman,,Unicorn,Hedgehog
Electric Screwdriver,Ducati Panigale V4,Ducati,C-Class,Mercedes-Benz,Cybertruck,Tesla,Spinach,,,Lemon water,Knife block or magnetic strip,Cookies,Burgers,Margherita Pizza,Maus,,Pegasus,Capybara
Jigsaw,BMW S1000RR,BMW,GLS,Mercedes-Benz,Leaf,Nissan,Avocado toast on whole grain bread,,,Cucumber-mint water,Cutting board (wood or plastic),Cupcakes,Hot Dogs,Caprese Salad,Persepolis,,Kraken,Kinkajou
Circular Saw,Harley-Davidson Sportster 883,Harley-Davidson,7 Series,BMW,Ariya,Nissan,Greek yogurt with honey and berries,,,Apple cider vinegar water,Mixing bowls (various sizes),Donuts,Pizza,Lentil Soup,Saga,,Hydra,Serval
Miter Saw,Triumph Bonneville T120,Triumph,5 Series,BMW,Bolt EV,Chevrolet,Almond butter on apple slices,,,Green tea,Measuring cups ,Croissants,Nachos,Dal Tadka,Y: The Last Man,,Cerberus,Wallaby
Table Saw,KTM 1290 Super Duke R,KTM,8 Series,BMW,Bolt EUV,Chevrolet,Overnight oats with chia seeds and banana,,,Black tea,Measuring spoons,Macarons,Mozzarella Sticks,Veggie Burger,Bone,,Minotaur,Marmoset
Track Saw,MV Agusta F4,MV Agusta,i7,BMW,Equinox EV,Chevrolet,Vegetable stir-fry with tofu,,,White tea,Measuring jug ,Muffins,Chicken Nuggets,Mushroom Risotto,Sin City,,Chimera,Chinchilla
Reciprocating Saw,Honda CBR600RR,Honda,iX,BMW,Blazer EV,Chevrolet,Quinoa salad with roasted veggies and lemon dressing,,,Oolong tea,Saucepan,Banana Bread,Tater Tots,Veggie Pasta Primavera,300,,Sphinx,Tegu Lizard
Band Saw,Yamaha MT-09,Yamaha,X7,BMW,Mustang Mach-E,Ford,Sweet potato and black bean tacos,,,Matcha tea,Stockpot,Éclairs,Corn Dogs,Palak Paneer,The Dark Knight Returns,,Basilisk,Bearded Dragon
Scroll Saw,Suzuki GSX-R1000,Suzuki,A8,Audi,F-150 Lightning,Ford,Chia pudding with almond milk and mango,,,Herbal tea ,Frying pan / skillet,Tiramisu,Cheese Balls,Ratatouille,Black Hole,,Medusa (Gorgon),Ball Python
Chainsaw,Kawasaki Z900,Kawasaki,A7,Audi,E-Transit,Ford,Lentil soup,,,Ginger tea,Non-stick skillet,Cinnamon Rolls,Popcorn (Butter-Salted),Falafel Wrap,Fun Home,,Cyclops,Corn Snake
Tile Saw,Ducati Monster 1200,Ducati,A6,Audi,IONIQ 5,Hyundai,Egg and vegetable breakfast muffins,,,Turmeric tea (golden milk),Cast iron skillet,Red Velvet Cake,Buffalo Wings,Hummus with Pita,Ghost World,,Satyr,Boa Constrictor
Angle Grinder,BMW R1250GS,BMW,A5,Audi,IONIQ 6,Hyundai,"Tomato, mozzarella & basil salad (Caprese)",,,Rooibos tea,Dutch oven,Ice Cream Cake,Chili Cheese Fries,Vegetable Samosa,Scott Pilgrim,,Centaur,Savannah Cat
Die Grinder,Harley-Davidson Road King,Harley-Davidson,Q8,Audi,Kona Electric,Hyundai,Kale Caesar salad with grilled chicken,,,Yerba mate,Wok,Lemon Bars,Garlic Bread,Tomato Basil Soup,The Walking Dead,,Harpy,Bengal Cat
Bench Grinder,Triumph Street Triple 765 RS,Triumph,e-tron GT,Audi,EV6,Kia,Sardines on whole-grain crackers,,,Iced tea ,Saute pan,Key Lime Pie,Deep-Fried Pickles,Eggplant Parmesan,Locke & Key,,Siren,Sphynx Cat
Belt Sander,KTM 690 Duke,KTM,RS7 Sportback,Audi,EV9,Kia,Brown rice and vegetable bowl,,,Chai tea,Grill pan,Pecan Pie,Taco Bell Tacos,Aloo Gobi,Fables,,Nemean Lion,African Grey Parrot
Orbital Sander,Royal Enfield Classic 350,Royal Enfield,XF,Jaguar,Niro EV,Kia,Flaxseed and banana smoothie,,,Bubble tea,Roasting pan,Pumpkin Pie,McDonald's Big Mac,Vegetable Spring Rolls,Hellboy,,Lamia,Macaw
Random Orbital Sander,Honda CRF450R,Honda,F-Type,Jaguar,RZ 450e,Lexus,Bell pepper stuffed with ground turkey and quinoa,,,Coffee,Baking sheet,Profiteroles,KFC Zinger Burger,Tofu Stir-Fry,Akira,,Leviathan,Cockatoo
Detail Sander,Yamaha YZ450F,Yamaha,I-PACE,Jaguar,UX 300e,Lexus,Apple slices with peanut butter,,,Espresso,Muffin tin,Apple Strudel,Domino’s Pepperoni Pizza,Veggie Tacos,One Piece,,Manticore,Lovebird
Drum Sander,Suzuki DR-Z400SM,Suzuki,XE,Jaguar,bZ4X,Toyota,Orange and fennel salad,,,Americano,Cake pan ,Baked Alaska,Doritos,Vegetable Sushi,Naruto,,Werewolf,Eclectus Parrot
Disc Sander,Kawasaki KX450,Kawasaki,Ghost,Rolls-Royce,Prologue,Honda,Carrot and hummus snack plate,,,Latte,Loaf pan,Black Forest Cake,Cheetos,Pasta Alfredo (no meat),Bleach,,Vampire,Quaker Parrot
Palm Sander,Husqvarna TE 300i,Husqvarna,Phantom,Rolls-Royce,ZDX,Acura,Garlic-roasted cauliflower,,,Cappuccino,Bundt pan,Carrot Cake,Flaming Hot Cheetos,Gnocchi with Tomato Sauce,Dragon Ball,,Banshee,Indian Ringneck Parakeet
Heat Gun,Beta 300 RR,Beta,Cullinan,Rolls-Royce,i4,BMW,Green tea,,,Flat white,Pie dish,Bread Pudding,Pringles,Greek Salad,Death Note,,Troll,Hyacinth Macaw
Hot Glue Gun,Harley-Davidson Fat Boy,Harley-Davidson,Spectre,Rolls-Royce,i5,BMW,Olive oil-drizzled mixed greens,,,Cold brew coffee,Pizza stone,Crème Brûlée,Ruffles,Mushroom Stroganoff,Attack on Titan,,Ogre,Koi Fish
Nail Gun (Framing),Indian Scout,Indian Motorcycles,Flying Spur,Bentley,i7,BMW,Mushroom and spinach omelette,,,Nitro cold brew,Casserole dish,Pavlova,Lay’s Classic Chips,Thai Green Curry (vegetarian),My Hero Academia,,Giant,Arowana
Finish Nailer,Moto Guzzi V7 III,Moto Guzzi,Continental GT,Bentley,iX,BMW,Cauliflower rice bowl,,,Iced coffee,Ramekins,Trifle,Twinkies,Vegetable Korma,Tokyo Ghoul,,Yeti,Discus Fish
Brad Nailer,Aprilia RSV4,Aprilia,Bentayga,Bentley,MINI Cooper SE,Mini,Cabbage slaw with tahini dressing,,,Frappuccino,Cooling rack,Soufflé,HoHos,Stuffed Bell Peppers,Fullmetal Alchemist,,Bigfoot,Oscar Fish
Flooring Nailer,Honda Africa Twin,Honda,CT5-V Blackwing,Cadillac,Countryman Electric,Mini,Beet and goat cheese salad,,,Mocha,Colander,Fruit Tart,Ding Dongs,Vegetarian Chili,Demon Slayer,,Chupacabra,Piranha
Staple Gun (Electric),Yamaha Tenere 700,Yamaha,Escalade,Cadillac,EQS Sedan,Mercedes-Benz,Strawberries dipped in dark chocolate,,,Dalgona coffee,Sieve / strainer,Opera Cake,Honey Buns,Broccoli Cheddar Soup,Chainsaw Man,,Djinn (Genie),Pacman Frog
Power Caulking Gun,KTM 890 Adventure R,KTM,Lyriq,Cadillac,EQE Sedan,Mercedes-Benz,Black bean chili,,,Turkish coffee,Salad spinner,Churros,Pop-Tarts,Zucchini Noodles,Jujutsu Kaisen,,Roc,Dart Frog
Power Paint Sprayer,BMW F850GS,BMW,Navigator,Lincoln,EQB,Mercedes-Benz,Pumpkin seed granola,,,Vietnamese iced coffee,Grater ,Baklava,Donuts,Spinach Lasagna,Vagabond,,Thunderbird,Tomato Frog
Air Compressor,Ducati Multistrada V4,Ducati,Aviator,Lincoln,EQS SUV,Mercedes-Benz,Steamed edamame with sea salt,,,Thai iced tea,Mandoline slicer,Mille-feuille,Cinnamon Rolls,Roasted Cauliflower,Berserk,,Wendigo,White’s Tree Frog
Pneumatic Impact Wrench,Triumph Tiger 900 Rally Pro,Triumph,Continental,Lincoln,EQE SUV,Mercedes-Benz,Dark chocolate (70%+),,,Masala chai,Peeler,Madeleines,Frosted Flakes,Okra Fry,Hunter x Hunter,,Kappa,Red-Eyed Tree Frog
Electric Impact Wrench,Honda Rebel 500,Honda,DB11,Aston Martin,e-tron GT,Audi,Grilled chicken with roasted Brussels sprouts,,,Hot chocolate,Garlic press,Cannoli,Lucky Charms,Avocado Toast,JoJo’s Bizarre Adventure,,Oni,Axanthic Leopard Gecko
Torque Wrench (Digital),Yamaha XSR900,Yamaha,DBS Superleggera,Aston Martin,Q4 e-tron,Audi,Golden turmeric latte (with plant milk),,,Spiced hot chocolate,Citrus juicer,Gelato,Froot Loops,Bruschetta,Vinland Saga,,Kitsune,Crested Gecko
Power Ratchet,Suzuki SV650,Suzuki,Vantage,Aston Martin,Q8 e-tron,Audi,Ginger-carrot soup,,,Chocolate milk,Can opener,Fudge,Captain Crunch,Corn on the Cob,Black Clover,,Tanuki,Tokay Gecko
Electric Socket Wrench,Kawasaki Versys 650,Kawasaki,Valhalla,Aston Martin,RS e-tron GT,Audi,Red grapes and almonds,,,Oat milk,Bottle opener,Blondies,Ice Cream Sandwiches,Veggie Quesadilla,Dr. Stone,,Jiangshi (Hopping Vampire),Uromastyx
Oscillating Multi-Tool,Harley-Davidson Street Glide,Harley-Davidson,Quattroporte,Maserati,A6 e-tron,Audi,Kiwi and chia parfait,,,Almond milk,Wine opener / corkscrew,Marshmallows,Drumsticks (Ice Cream),Sweet Potato Fries,Spy x Family,,Golem,Blue Tongue Skink
Rotary Tool (Dremel),Indian Chief,Indian Motorcycles,Ghibli,Maserati,Air Pure,Lucid Motors,Mango-avocado salsa,,,Soy milk,Vegetable brush,Rice Krispie Treats,Chocolate Chip Cookies,Vegetable Pancakes,Slam Dunk,,Nymph,Chinese Water Dragon
Electric File,Honda Gold Wing,Honda,Levante,Maserati,Air Touring,Lucid Motors,Papaya smoothie bowl,,,Coconut milk,Kitchen scissors / shears,Lamingtons,Oreos,Mashed Potatoes,Claymore,,Dryad,Frilled Lizard
Power Shears,Yamaha FJR1300,Yamaha,MC20,Maserati,Air Grand Touring,Lucid Motors,Pineapple coconut smoothie,,,Rice milk,Kitchen scale,Anzac Biscuits,Fudge Brownies,Stuffed Zucchini Boats,Gantz,,Selkie,Green Iguana
Electric Nibbler,BMW K1600GT,BMW,Model S,Tesla,Air Sapphire,Lucid Motors,Watermelon-feta-mint salad,,,Cashew milk,Thermometer ,Basque Cheesecake,Rice Krispie Treats,Baked Mac and Cheese,Parasyte,,Kelpie,Monitor Lizard
Planer (Electric),Can-Am Spyder F3,Can-Am,Model X,Tesla,Gravity SUV,Lucid Motors,Zucchini noodles with pesto,,,Horchata,Tongs,Danish Pastry,Candy Corn,Tomato Mozzarella Sandwich,Blue Lock,,Bunyip,Alligator Snapping Turtle
Jointer,Ducati Diavel V4,Ducati,Model 3 Long Range,Tesla,Polestar 2,Polestar,Asparagus with poached eggs,,,Golden milk latte,Spatula ,Scones,Gummy Bears,Baked Eggplant Slices,Dorohedoro,,Tikbalang,Red-Eared Slider
Thickness Planer,Triumph Rocket 3 R,Triumph,Model Y Performance,Tesla,Polestar 3,Polestar,Brussels sprouts roasted with balsamic glaze,,,Beetroot latte,Whisk,Shortbread,Gummy Worms,Grilled Cheese Sandwich,Pluto,,Aswang,Russian Tortoise
Wood Lathe,Moto Guzzi California Touring,Moto Guzzi,Taycan,Porsche,Polestar 4,Polestar,Seaweed salad,,,Lavender latte,Ladle,Tarts,Skittles,Chickpea Salad,20th Century Boys,,Manananggal,Sulcata Tortoise
Metal Lathe,Honda CB500X,Honda,Panamera,Porsche,GV60,Genesis,Grilled tuna steak with lemon,,,Carrot juice,Soup spoon,Swiss Roll,M&Ms,Vegetarian Paella,Monster,,Tengu,African Fat-Tailed Gecko
Drill Press,Yamaha MT-07,Yamaha,Cayenne,Porsche,Electrified G80,Genesis,Berries and Greek yogurt bowl,,,Celery juice,Slotted spoon,Victoria Sponge,Reese’s Cups,Roasted Veggie Flatbread,Rurouni Kenshin,,Fenrir,Rose Hair Tarantula
Magnetic Drill,Suzuki V-Strom 650,Suzuki,Macan GTS,Porsche,Electrified GV70,Genesis,Buckwheat pancakes with fruit,,,Beet juice,Pasta spoon,Sticky Toffee Pudding,Snickers,Spinach and Cheese Enchiladas,Inuyasha,,Jörmungandr,Mexican Red Knee Tarantula
